event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jesse  Moreno,Kathy Stewart,Laura Cadena,Lorie Blair,Maxie Johnson,Paul Ridley,Paula Blackmon,William Roth,Zarin D. Gracey
,2025-10-01,,City Council,,,1,,"Approval of Minutes of the September 17, 2025 Budget Workshop City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/100125Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2025-10-01,,City Council,,,2,,"Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office)
[Individual and Full Council Apoointments]",,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/100125Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98901,1.,17,"Approval of Minutes of the September 24, 2025 City Council Meeting",25-2767A,VOTING AGENDA,Approved,22378,"Approval of Minutes of the September 24, 2025 City Council Meeting",2025-09-12,25-1612; APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98905,2.,21,"Authorize a Memorandum of Understanding with the United States Capitol Police to provide reimbursement for law enforcement services, support, and enhancements provided by the Dallas Police Department and Dallas Fire-Rescue Department for Congressional events and/or USCP protective operations occurring in the jurisdiction of the City of Dallas - Financing: This action has no cost consideration to the City (see Fiscal Information)",25-2744A,CONSENT AGENDA,Approved,22355,"Authorize a Memorandum of Understanding with the United States Capitol Police to provide reimbursement for law enforcement services, support, and enhancements provided by the Dallas Police Department and Dallas Fire-Rescue Department for Congressional events and/or USCP protective operations occurring in the jurisdiction of the City of Dallas - Financing: This action has no cost consideration to the City (see Fiscal Information)",2025-09-10,25-1614; APPROVED,Dallas Police Department (DPD),Dallas Police Department,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/5296d80c-69fd-4cc4-a83d-b7d8adac55c8.docx,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",99100,3.,24,"Authorize the (1) acceptance of a grant from the U.S. Department of Health and Human Services for Substance Abuse and Mental Health Services Administration (SAMHSA) for the South Dallas Drug Court Expansion project (Grant No. 5H79TI086241-03, Assistance Listing No. 93.243) in the amount of $386,579.00 to expand Substance Use Disorder treatment and recovery support services in the existing South Dallas Drug Court for the period September 30, 2025, through September 29, 2026, for year three of the five-year project; (2) establishment of appropriations in an amount not to exceed $386,579.00 in the SAMHSA FY26 South Dallas Drug Court Expansion Grant Fund; (3) receipt and deposit of funds in an amount not to exceed $386,579.00 in the SAMHSA FY26 South Dallas Drug Court Expansion Grant Fund; and (4) execution of the award with SAMHSA and all terms, conditions, and documents required by the agreement - Not to exceed $386,579.00 - Financing:  SAMHSA FY26 South Dallas Drug Court Expansion Grant Fund",25-2777A,CONSENT AGENDA,Approved,22388,"Authorize the (1) acceptance of a grant from the U.S. Department of Health and Human Services for Substance Abuse and Mental Health Services Administration (SAMHSA) for the South Dallas Drug Court Expansion project (Grant No. 5H79TI086241-03, Assistance Listing No. 93.243) in the amount of $386,579.00 to expand Substance Use Disorder treatment and recovery support services in the existing South Dallas Drug Court for the period September 30, 2025, through September 29, 2026, for year three of the five-year project; (2) establishment of appropriations in an amount not to exceed $386,579.00 in the SAMHSA FY26 South Dallas Drug Court Expansion Grant Fund; (3) receipt and deposit of funds in an amount not to exceed $386,579.00 in the SAMHSA FY26 South Dallas Drug Court Expansion Grant Fund; and (4) execution of the award with SAMHSA and all terms, conditions, and documents required by the agreement - Not to exceed $386,579.00 - Financing:  SAMHSA FY26 South Dallas Drug Court Expansion Grant Fund",2025-09-17,25-1615; APPROVED,Municipal Court Judiciary (CTJ),Municipal Court Judiciary,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/186012d5-69aa-4abe-ba71-c9d8035814bd.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/13aaad97-9c0d-48b9-8f58-7de3e498803b.pdf,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98910,4.,27,"Authorize Amendment No. 1 to terminate the Advance Funding Agreement with the Texas Department of Transportation of a twelve-foot-wide trail from the LBJ/Skillman DART Station to the Richardson City Limits at Buckingham Road using property owned by the Kansas City Southern Railway Company and execution of the Amendment and all terms, conditions, and documents required by the Advanced Funding Agreement (Agreement No. CSJ No. 0918-47-273) - Financing: No cost consideration to the City",25-2709A,CONSENT AGENDA,Approved,22321,"Authorize Amendment No. 1 to terminate the Advance Funding Agreement with the Texas Department of Transportation of a twelve-foot-wide trail from the LBJ/Skillman DART Station to the Richardson City Limits at Buckingham Road using property owned by the Kansas City Southern Railway Company and execution of the Amendment and all terms, conditions, and documents required by the Advanced Funding Agreement (Agreement No. CSJ No. 0918-47-273) - Financing: No cost consideration to the City",2025-09-08,25-1616; APPROVED,Park & Recreation Department (PKR),Park & Recreation Department,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/68b149bb-2af0-4f03-af29-50765b09533b.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/112b1561-c425-4db4-9d5b-53a70a207e9a.docx,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98909,5.,29,Authorize Amendment No. 2 to the Interlocal Agreement with Dallas County for the purpose of design and construction of the Chalk Hill Trail Project to designate (1) Phase 1 of the Project as located from the intersection of Cockrell Hill Road and Illinois Avenue to Ginger Avenue; and (2) Phase 2 of the Project as located from Ginger Avenue to Chalk Hill Road - Financing: No cost consideration to the City (see Fiscal Information),25-2703A,CONSENT AGENDA,Approved,22315,Authorize Amendment No. 2 to the Interlocal Agreement with Dallas County for the purpose of design and construction of the Chalk Hill Trail Project to designate (1) Phase 1 of the Project as located from the intersection of Cockrell Hill Road and Illinois Avenue to Ginger Avenue; and (2) Phase 2 of the Project as located from Ginger Avenue to Chalk Hill Road - Financing: No cost consideration to the City (see Fiscal Information),2025-09-05,25-1617; APPROVED,Park & Recreation Department (PKR),Park & Recreation Department,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/c6b6adf7-491e-44b1-9680-ee8f40124bfe.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/ebd5a1d4-13c1-4325-babf-d08cd8cb4926.pdf,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98916,6.,32,"Authorize a public hearing to be held on October 22, 2025 to receive comments on proposed amendments to the Project Plan and Reinvestment Zone Financing Plan (“Plan”) for Tax Increment Reinvestment Zone Number Eleven, the Downtown Connection Tax Increment Financing District (“Zone”) to: (1) increase the geographic area of the Downtown Connection Sub-district of the Zone by approximately two acres of real property to promote development or redevelopment of the Zone; and (2) make corresponding modifications to the Zone’s boundary and Plan; and, at the close of the public hearing on October 22, 2025, consider an ordinance amending Ordinance No. 26096, previously approved on August 29, 2005, as amended, to reflect these amendments - Financing: No cost consideration to the City

*In alignment with Economic Development Incentive Policy.",25-2771A,CONSENT AGENDA,Approved as an Individual Item,22382,"Authorize a public hearing to be held on October 22, 2025 to receive comments on proposed amendments to the Project Plan and Reinvestment Zone Financing Plan (“Plan”) for Tax Increment Reinvestment Zone Number Eleven, the Downtown Connection Tax Increment Financing District (“Zone”) to: (1) increase the geographic area of the Downtown Connection Sub-district of the Zone by approximately two acres of real property to promote development or redevelopment of the Zone; and (2) make corresponding modifications to the Zone’s boundary and Plan; and, at the close of the public hearing on October 22, 2025, consider an ordinance amending Ordinance No. 26096, previously approved on August 29, 2005, as amended, to reflect these amendments - Financing: No cost consideration to the City

*In alignment with Economic Development Incentive Policy.",2025-09-15,25-1618; APPROVED AS AN INDIVIDUAL ITEM,Office of Economic Development (ECO),Office of Economic Development,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/3e54dbca-1112-4bfa-8979-5d76ec6e0226.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/6b0ab4e1-c1a9-4977-92a3-7a6f516fd367.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98920,7.,36,"Authorize (1) the first of two permitted ten year renewals with the North Texas Municipal Water District to transport North Texas Municipal Water District owned water supply from Lake Fork to Lake Tawakoni for the period October 14, 2025 through October 13, 2035; and (2) an amendment to reflect the terms of the Sabine River Authority Contract with the North Texas Municipal Water District - Estimated Annual Revenue: $3,462,101.65 (at current untreated water transportation rate)",25-2529A,CONSENT AGENDA,Approved as an Individual Item,22141,"Authorize (1) the first of two permitted ten year renewals with the North Texas Municipal Water District to transport North Texas Municipal Water District owned water supply from Lake Fork to Lake Tawakoni for the period October 14, 2025 through October 13, 2035; and (2) an amendment to reflect the terms of the Sabine River Authority Contract with the North Texas Municipal Water District - Estimated Annual Revenue: $3,462,101.65 (at current untreated water transportation rate)",2025-08-08,25-1619; APPROVED AS AN INDIVIDUAL ITEM,Dallas Water Utilities Department (DWU),Dallas Water Utilities Department,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/9693c4fb-0f7a-4c9b-af02-6b49f8df9afc.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/4d5e1ec2-281d-40eb-bba0-3efddd4bcc6c.docx,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
3728,2025-10-08,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",98921,8.,37,"Authorize a professional services contract with Halff Associates, Inc. to provide engineering services for storm drainage system improvements in the Mill Creek, Peaks Branch, East Peaks Branch watersheds - Not to exceed $5,994,800.00 - Financing: Flood Protection and Storm Drainage (C) Fund (2024 General Obligation Bond Fund)",25-2627A,CONSENT AGENDA,Approved,22239,"Authorize a professional services contract with Halff Associates, Inc. to provide engineering services for storm drainage system improvements in the Mill Creek, Peaks Branch, East Peaks Branch watersheds - Not to exceed $5,994,800.00 - Financing: Flood Protection and Storm Drainage (C) Fund (2024 General Obligation Bond Fund)",2025-08-26,25-1620; APPROVED,Dallas Water Utilities Department (DWU),Dallas Water Utilities Department,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/10/3728_A_City_Council_25-10-08_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/100825Min.pdf,https://dallastx.new.swagit.com/videos/357579,https://cityofdallas.legistar1.com/cityofdallas/attachments/83548e07-766c-4534-b010-698ce370fbeb.doc|https://cityofdallas.legistar1.com/cityofdallas/attachments/6538297d-3e70-4509-9742-e76791d8d667.pdf,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
