event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam Bazaldua,Adam McGough,Cara Mendelsohn,Carolyn King Arnold,Casey Thomas II,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell Atkins
,2021-08-04,,City Council,,,1,,"Approval of Minutes of the June 14, 2021 Special Called Meeting and June 16, 2021 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/080421Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2021-08-04,,City Council,,,2,,Consideration of appointments to boards   and   commissions   and   the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office),,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/080421Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45849,,1,"AGENDA 
CITY COUNCIL MEETING
WEDNESDAY, AUGUST 11, 2021
ORDER OF BUSINESS

The City Council meeting will be held by videoconference.  Individuals who wish to speak in accordance with the City Council Rules of Procedure must sign up with the City Secretary’s Office.  The following videoconference link is available to the public  to listen to the meeting and Public Affairs and Outreach will also stream the City Council meeting on Spectrum Cable Channel 95 and bit.ly/cityofdallastv:

 https://dallascityhall.webex.com/dallascityhall/onstage/g.php?MTID=e0317ea0c3aa4b0caf83fa1154fc64548",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45710,,2,Public hearings will not be heard before 1:00 p.m.,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45711,,3,INVOCATION AND PLEDGE OF ALLEGIANCE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45712,,4,OPEN MICROPHONE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45713,,5,MINUTES,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45714,,6,CONSENT AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,47198,,7,DELETIONS,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
1891,2021-08-11,9:00 AM,City Council,bit.ly/cityofdallastv,45716,,8,ITEMS FOR INDIVIDUAL CONSIDERATION,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/8/1891_A_City_Council_21-08-11_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/081121Min.pdf,https://dallastx.new.swagit.com/videos/201957,,,,,,,,,,,,,,,,
